FIOStevilkaZadeve;KlasifikacijaNesrece;UpravnaEnotaStoritve;DatumPN;UraPN;VNaselju;Lokacija;VrstaCesteNaselja;SifraCesteNaselja;TekstCesteNaselja;SifraOdsekaUlice;TekstOdsekaUlice;StacionazaDogodka;OpisKraja;VzrokNesrece;TipNesrece;VremenskeOkoliscine;StanjePrometa;StanjeVozisca;VrstaVozisca;GeoKoordinataX;GeoKoordinataY
487917;BREZ POŠKODBE;NOVA GORICA;12.12.2005;16;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;35;PRVOMAJSKA ULICA;3;NARAVNO OKOLJE;OSTALO;OSTALO;NEZNANO;NEZNANO;SUHO;HRAPAV  ASFALT / BETON;459540483946;136369358861
440550;BREZ POŠKODBE;NOVA GORICA;31.01.2005;7;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;9;ERJAVČEVA ULICA;5;NARAVNO OKOLJE;NEUSTREZNA VARNOSTNA RAZDALJA;NALETNO TRČENJE;OBLAČNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459542817708;136437028131
487067;BREZ POŠKODBE;NOVA GORICA;17.11.2005;18;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;9;ERJAVČEVA ULICA;17;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;OBLAČNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459543018104;136415995802
463096;BREZ POŠKODBE;NOVA GORICA;30.06.2005;9;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;9;ERJAVČEVA ULICA;22;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459543219645;136395092432
476099;LAŽJA TELESNA POŠKODBA;NOVA GORICA;3.04.2005;17;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;9;ERJAVČEVA ULICA;22;NARAVNO OKOLJE;OSTALO;OPLAŽENJE;JASNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459543219645;136395092432
474752;HUDA TELESNA POŠKODBA;NOVA GORICA;22.09.2005;16;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37075;NOVA GORICA;9;ERJAVČEVA ULICA;20;NARAVNO OKOLJE;NEUPOŠTEVANJE PRAVIL O PREDNOSTI;BOČNO TRČENJE;OBLAČNO;GOST;SUHO;HRAPAV  ASFALT / BETON;459544352740;136399579846
453690;BREZ POŠKODBE;NOVA GORICA;10.05.2005;15;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37057;KROMBERK;5;INDUSTRIJSKA CESTA;5;NARAVNO OKOLJE;PREMIKI Z VOZILOM;BOČNO TRČENJE;OBLAČNO;NORMALEN;SUHO;ZGLAJEN ASFALT / BETON;459548352697;136693869143
476151;BREZ POŠKODBE;NOVA GORICA;30.05.2005;15;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37057;KROMBERK;5;INDUSTRIJSKA CESTA;5;NARAVNO OKOLJE;OSTALO;ČELNO TRČENJE;JASNO;REDEK;SUHO;ZGLAJEN ASFALT / BETON;459548352697;136693869143
464006;BREZ POŠKODBE;NOVA GORICA;5.07.2005;14;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37057;KROMBERK;5;INDUSTRIJSKA CESTA;5;NARAVNO OKOLJE;OSTALO;TRČENJE V STOJEČE / PARKIRANO VOZILO;JASNO;NORMALEN;SUHO;HRAPAV  ASFALT / BETON;459548352697;136693869143
452838;BREZ POŠKODBE;NOVA GORICA;13.04.2005;7;D;NASELJE;NASELJE Z ULIČNIM SISTEMOM;37057;KROMBERK;5;INDUSTRIJSKA CESTA;5;NARAVNO OKOLJE;PREMIKI Z VOZILOM;TRČENJE V STOJEČE / PARKIRANO VOZILO;JASNO;REDEK;SUHO;HRAPAV  ASFALT / BETON;459548352697;136693869143
